# source_id_1_1       ra_1_1             dec_1_1             phot_g_mean_mag_1 phot_bp_mean_mag_1 phot_rp_mean_mag_1 _2MASS           Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag objID             gmag    e_gmag rmag_2  e_rmag imag    e_imag zmag    e_zmag ymag    e_ymag
  6049060977962069248 246.58570241969522 -24.939524575021693 12.034081         13.337611          10.912723          16262057-2456223 8.879  0.026  7.949  0.057  7.543  0.018  78072465856982866 13.9702 0.0107 12.387  0.0    11.42   0.0    10.77   0.0    10.418  0.0   
  6049180030159574272 245.36223126430332 -25.20570583283996  12.061679         12.968357          11.116123          16212690-2512206 9.634  0.024  8.872  0.042  8.696  0.023  77752453624443420 13.3306 0.0098 12.0725 0.0044 11.2945 0.0019 12.0173 0.031  0.0     0.0   
  6048880928636274048 244.4934990073371  -25.037564935874453 12.103099         13.1912775         11.073687          16175845-2502153 9.4    0.024  8.532  0.053  8.361  0.078  77952444935035328 13.7128 0.0032 12.222  0.0    11.444  0.0    10.982  0.0    10.713  0.0   
  6048968790786976128 245.682143621775   -25.5530145038585   12.150144         12.554104          11.561721          16224371-2533106 10.743 0.026  10.492 0.023  10.359 0.023  77332456824256545 0.0     0.0    13.4731 0.0966 13.2456 0.1538 13.0665 0.001  0.0     0.0   
  6048575608001144192 245.0819191739074  -25.74667644716985  12.15741          13.133309          11.17804           16201967-2544479 9.636  0.023  8.885  0.042  8.627  0.019  77102450821654208 13.5157 0.001  13.2837 0.0546 11.6085 0.0103 11.4297 0.069  11.1163 0.0686
  6049244351589198208 245.84089377532285 -24.41619601973377  12.16884          13.039445          11.228318          16232181-2424577 9.708  0.024  9.06   0.024  8.762  0.021  78702458408790986 13.3978 0.001  12.38   0.0    11.708  0.0    11.246  0.0    11.026  0.0   
  6048773107778242944 244.81134896202036 -25.542144289868343 12.175787         13.119952          11.203002          16191473-2532314 9.662  0.023  8.975  0.022  8.73   0.019  77342448114059876 13.5232 3.0E-4 12.336  0.0    11.661  0.0    11.199  0.0    10.979  0.0   
  6049210614624189696 245.26067338031038 -24.819030874051318 12.246018         13.822351          11.039077          16210256-2449084 8.823  0.023  7.668  0.034  7.275  0.017  78212452607057723 14.5794 0.0051 13.022  0.0    11.817  0.0    10.977  0.0    10.538  0.0   
  6048535823726466304 245.50606546484696 -25.858214898450857 12.253751         13.266441          11.259486          16220144-2551294 9.667  0.021  8.799  0.036  8.543  0.019  76972455060440481 13.7028 0.0028 12.425  0.0    11.72   0.0    11.274  0.0    11.012  0.0   
  6049182542717897728 245.433264072292   -25.083306532246773 12.254053         13.742657          11.072139          16214400-2504597 8.923  0.035  7.816  0.029  7.452  0.016  77902454332580444 14.4684 0.0011 12.821  0.0    11.715  0.0    10.954  0.0    10.552  0.0   
  6048878695253279104 244.8451574897303  -24.87768890826332  12.309398         13.465615          11.247218          16192284-2452396 9.444  0.023  8.569  0.049  8.252  0.026  78142448452257105 14.0163 0.0028 12.522  0.0    11.72   0.0    11.182  0.0    10.887  0.0   
  6050032907584540032 244.90287294365123 -24.363031690352372 12.316882         13.650901          11.187806          16193670-2421466 9.153  0.024  8.244  0.046  7.924  0.023  78762449028614845 14.275  0.0017 12.689  0.0    11.729  0.0    11.048  0.0    10.711  0.0   
  6048927279924445952 246.09638676126167 -25.445471296483344 12.342527         13.236674          11.394934          16242314-2526436 9.909  0.026  9.405  0.026  9.131  0.025  77462460964275696 13.5729 0.0045 12.779  0.0    12.031  0.0    11.43   0.0    11.236  0.0   
  6048990299983236608 245.53803368789684 -25.29501686249565  12.345178         13.46951           11.299709          16220912-2517420 9.565  0.021  8.645  0.033  8.414  0.019  77642455379336478 13.9907 0.0062 12.736  0.0    11.836  0.0    11.281  0.0    10.968  0.0   
  6048869211965743104 244.73880248444019 -25.063632622138577 12.364979         13.593293          11.272303          16185731-2503488 9.414  0.023  8.47   0.067  8.17   0.024  77922447388014064 14.1455 0.0121 12.64   0.0    11.776  0.0    11.204  0.0    10.885  0.0   
